readGroup	readLength	count
SRR14572852	170	412138
SRR14572852	171	415424
SRR14572852	172	417000
SRR14572852	173	419038
SRR14572852	174	418380
SRR14572852	175	418535
SRR14572852	176	420720
SRR14572852	177	424293
SRR14572852	178	428520
SRR14572852	179	432659
SRR14572852	180	435166
SRR14572852	181	437223
SRR14572852	182	438301
SRR14572852	183	441585
SRR14572852	184	443348
SRR14572852	185	445269
SRR14572852	186	447301
SRR14572852	187	451589
SRR14572852	188	454267
SRR14572852	189	459361
SRR14572852	190	460799
SRR14572852	191	465146
SRR14572852	192	468274
SRR14572852	193	471680
SRR14572852	194	473371
SRR14572852	195	479073
SRR14572852	196	481247
SRR14572852	197	484588
SRR14572852	198	489544
SRR14572852	199	495313
SRR14572852	200	499430
SRR14572852	201	501956
SRR14572852	202	505030
SRR14572852	203	508413
SRR14572852	204	511335
SRR14572852	205	514905
SRR14572852	206	521000
SRR14572852	207	525210
SRR14572852	208	527052
SRR14572852	209	534106
SRR14572852	210	537157
SRR14572852	211	541462
SRR14572852	212	547510
SRR14572852	213	549636
SRR14572852	214	552754
SRR14572852	215	558147
SRR14572852	216	561911
SRR14572852	217	566023
SRR14572852	218	572843
SRR14572852	219	576623
SRR14572852	220	582495
SRR14572852	221	586841
SRR14572852	222	588147
SRR14572852	223	592708
SRR14572852	224	595628
SRR14572852	225	598294
SRR14572852	226	605004
SRR14572852	227	608684
SRR14572852	228	613577
SRR14572852	229	619852
SRR14572852	230	623335
SRR14572852	231	626292
SRR14572852	232	632728
SRR14572852	233	634489
SRR14572852	234	639488
SRR14572852	235	641153
SRR14572852	236	643960
SRR14572852	237	628762
SRR14572852	238	658645
SRR14572852	239	648714
SRR14572852	240	690295
SRR14572852	241	602591
SRR14572852	242	525463
SRR14572852	243	636065
SRR14572852	244	660012
SRR14572852	245	940649
SRR14572852	246	2571040
SRR14572852	247	9721608
SRR14572852	248	28382249
SRR14572852	249	126673216
SRR14572852	250	275466236
